_A_p1	_A_p10	_A_p11	_A_p12	_A_p13	_A_p14	_A_p15	_A_p16	_A_p2	_A_p3	_A_p4	_A_p5	_A_p6	_A_p7	_A_p8	_A_p9
but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if	but if
their	their	their	their	their	their	their	there	their	their	their	their	their	their	their	their
hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	heats	hearts	hearts	hearts	hearts	hearts	hearts	hearts
be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be
counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
rate	rate	rate	note	note	rate	note	note	rate	rate	rate	rate	rate	rate	rate	rate
them	them	them	them	them	them	the	them	them	them	them	them	them	them	them	them
as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead	as I should a bead
set	set	set	set	set	set	set	set	set	yet	set	set	set	set	set	set
in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon	in gold . But I do not reckon
it	it	it	it	it	it	its	it	it	it	it	it	it	it	it	it
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry
thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all	thing when the noble ruby with all
its	its	its	its	its	its	its	its	its	its	its	its	its	its	its	its
virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into	virtues is fashioned into
bass	bare	base	base	base	base	base	base	bare	bare	base	base	base	base	base	base
brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass	brass
	,	,	,	,	,	,	,	,			,	,		,	
for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would	for this I would
liken	liken	liken	liken	liken	liken	liken	liken	liken	like	liken	liken	liken	liken	liken	liken
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the	the	the	the	the	the	the	the		the	the	the	the	the	the
												the			
spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of	spirit of
true	true	true	true	true	true	true	true	true		true	true	true		true	true
womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood
.	.	.		.	.	.	.	.	.	.	.	.	.	.	.
When	When	When	When	When	When	When	When	When	When	When	When	When	When	When	When
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
women	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman
acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her	acts to the best of her nature you will not find me surveying her complexion or probing what shields her
heart	heart	heart	heart	heart	heart	heat	heart	heat	heart	heart	heart	heart	heart	heart	heart
: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her	: if she be well proofed within her
breast	breast	breast	breast	breast	breast	breast	breasts	breast	breast	breast	breast	breast	breast	breast	breast
,										,					
her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .	her good name is safe from harm .
Now	Now	Now	Nor	Now	Now	Now	Now	Now	Now	Now	Now	Now	Now	Now	Now
if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men	if I were to judge of men
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a	women as I know them a
long	long	long	long	long	long	long	long	long	love	long	long	long	long	long	long
story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be	story it would be
.	.	.	.	.	.			.	.	.	.	.	.	.	.
Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear	Hear
	,	,	,	,	,	,	,	,			,	,		,	,
then	then	then	then	then	then	then	then	then	then	then	then	then	then	then	then
	,		,	,		,	,	,	,		,		,		,
what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling	what manner of tale this is , telling
of	of	of	of	of	of	of	of	of		of	of	of	of	of	of
things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad	things both pleasant and sad
,	,	,			,	,	,	,	,	,	,	,	,	,	,
with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .	with joy and trouble for company .
Grant	Grant	Grant	Grant	Grant	Grant	Grant	Great	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant
there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine	there were three of me , each with skill to match mine
:	:	:	:	:	:	:	:	:	,	:	:	:	:	:	:
there	there	there	there	there	there	there	there	there	there	there	there	there	there	there	there
would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need	would still be need
of	for	of	of	of	of	of	of	of	of	of	for	of	of	of	of
unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled
inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you	inspiration to tell you
what	what	what	what	what		what	what	what	what	what	what	what	what	what	what
,	,		,	,	,	,	,		,	,	,	,	,	,	,
single-handed	simple handed	simple handed	single-handed	single-handed	single-handed	single-handled	single-handed	single-handed	single-handed	single-handed	simple handed	single-handed	single-handed	single-handed	single-handed
,	,	,	,	,	,	,	,		,	,	,	,	,	,	,
					what										
I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have	I have
in	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell	mind to tell
									you				you		
!	.	!	!	!	!	.	!	!	.	!	!	!	.	!	!
I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a	I will renew a
tale	tale	tale	tale	tale	tale	tale	tale	tale	lake	tale	tale	tale	tale	tale	tale
that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity	that tells of great fidelity
,			,	,		,		,	,	,		,	,		,
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
unborn	unborn	unborn	inborn	inborn	unborn	inborn	unborn	inborn	unborn	inborn	unborn	unborn	inborn	unborn	inborn
womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and	womanhood and
manly	manly	manly	manly	manly	manly	manly	manly	manly	narky	manly	manly	manly	manly	manly	manly
virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of	virtue so straight as never was bent in any test of
hardness	hardiness	hardness	hardness	hardness	hardness	hardness	hardness	hardness	hardness	hardness	hardiness	hardness	hardness	hardness	hardness
.	.	.		.	.		.		.	.	.	.	.	.	.
Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel
that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he	that he
was	was	was	was	was	may	was	was	was	was	was	was	way	was	way	was
,	,	,	,	,	,	,	,	,	,	,	,		,		,
his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him	his courage never failed him
,	,	,	,	,	,	,	,	,		,	,	,		,	,
his	his	his	his	his	his	his	his	his	his	his	his	his	his	his	his
conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering
hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand
seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized	seized
many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle	many a glorious prize when he came to battle
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	
Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless
man	man	man	man	man	man	man	man	man	man	man	man	man	man	man	man
,	,	,	,	,	,	,		,		,	,	,	,	,	,
though	though	though	though	though	though	though	though	though	though	though	though	though	though	though	though
							,								
laggard	lagged	haggard	laggard	laggard	laggard	laggard	laggard	laggard	taggered	laggard	lagged	laggard	laggard	laggard	laggard
in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !	in discretion !
-						-	-	-		-		-		-	-
Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus	Thus
		,			,							,		,	
I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the	I salute the
hero	hero	hour	hero	hero	hero	hero	here	hero	hero	hero	hero	hero	hero	hero	hero
			.	.	.		.	.				.		.	
-	-	-				-	-	-	-	-	-	-	-	-	-
sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet	sweet
balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to	balm to
women's	woman's	woman's	woman's	woman's	woman's	women's	woman's	woman's	women's	women's	woman's	woman's	women's	woman's	women's
eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet	eyes , yet
women's	woman's		woman's	woman's	woman's	woman's	woman	woman's	women's	women's	woman's	woman's	women's	woman's	women's
hearts	hearts'		heart's	heart's	heart's	heart's	heart's	heart's	heart's	hearts	heart's	heart's	heart's	heart's	heart's
disease	disease		disease	disease	disease	disease	disease	disease	desire	disease	disease	disease	disease	disease	disease
!	I		!	!	I	!	!	!	!	!	I	,	!	I	!
Shunner	shimmer		Shunner	Shunner	shun	Shunner	Shunner	Shunner	Shunner	Shunner	Shunner	Shunner	Shunner	Shunner	Shunner
of all	of all		of all	of all	of all	of all	of all	of all	of all	of all	of all	of all	of all	of all	of all
wrongdoing	wrongdoing		wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing	wrongdoing
!	!		!	!	!	!	!	!	!	!	!	!	!	!	!
As	As		As	As	As	As	As	As	As	As	As	As	As	As	As
yet	yet		yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet
he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the	he is unborn to this story whom I have chosen for the
	unborn to this story whom I have chosen for the	unborn to this story whom I have chosen for the												unborn to this story whom I have chosen for the	
part	part	past	part	part	part	part	part	part	part	part	part	part	part	part	part
,	,	,	,	,	,	,	.			,	,	,	,	,	,
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
man	man	man	man	man	man	man	man	man		man	man	man	man	man	man
of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the	of whom this tale is told and all the
marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels	marvels		marvels	marvels	marvels	marvels	marvels	marvels
in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it	in it
.	.	.	.	.	!	.	.	.	.	.	.	!	.	.	.
There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today	There is a custom still observed today
									,				,		
whenever	whenever	whenever	wherever	wherever	whenever	wherever	whenever	wherever	where	wherever	whenever	wherever	where	whenever	wherever
our	our	our	our	our	our	our	our	our	our	our	our	our	our	our	our
western	western	western	western	western	western	western	western	western	western	western	western	western	western	western	western
neighbour's	neighbour's	neighbours'	neighbour's	neighbour's	neighbours'	neighbour's	neighbours	neighbour's	neighbour's	neighbour's	neighbour's	neighbours'	neighbours'	neighbours'	neighbours'
law's	law	laws	laws	laws	laws	law	laws	laws	laws	law's	laws	laws	laws	laws	laws
prevail	prevail	prevail	prevail	prevail	prevail	prevails	prevail	prevail	prevail	prevail	prevail	prevail	prevail	prevail	prevail
. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even	. It holds even
on	on	as	on	on	on	on	on	on	on	on	on	on	on	on	on
German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one	German soil in one
old	odd	odd	odd	odd	odd	odd	odd	odd	old	old	odd	odd	old	odd	odd
corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you	corner - you
don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't	don't
need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held	need me to tell you that ! Whoever it was that held
those	those	those	these	those	those	those	those	those	those	those	those	these	those	those	these
territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories	territories
yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	yonder	gender	yonder	yonder	yonder	yonder	yonder	yonder
ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled	ruled
							.								
- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him	- nor was it shame to him
							.								
- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the	- that the
eldest	eldest	eldest	eldest	eldest	eldest	oldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest	eldest
brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though	brother ( strange though
											he				
true	true	true	true	true	true	true	true	true	true	true	be	true	true	true	true
) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his	) should have his
father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's
whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole	whole
inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance	inheritance
. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should	. That death should
sever	sever	sever	sever	sever	sever	sever	sever	sever	serve	sever	sever	sever	sever	sever	sever
the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their	the rights of which their
father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's	father's
life	life	life	life	life	life	life	life	life	life	life	life	life	life	life	life
assured	assured	assured	assured	assured	assured	assured	assured	assured	answered	assured	assured	assured	assured	assured	assured
them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was	them was
the		the	the	the	the	the	the	the	the	the	the	the	the	the	the
cadets	cadets'	cadets'	cadet's	cadet's	cadet's	cadet's	cadets	cadet's	cadet's	cadets'	cadet's	cadet's	cadets'	cadet's	cadets'
misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before	misfortune . Before
,	,	,	,	,	,				,	,	,	,	,	,	,
they	they	they	they	they	they	they	the	they	they	they	they	they	they	they	they
held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .	held in common .
Now	Now	Now	Now	Now	Now	Now	No	Now	Now	Now	Now	Now	Now	Now	Now
	,	,	,	,	,	,		,	,		,	,	,	,	,
the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone	the eldest holds alone
.	,	,	.	.	,	.	.	.	.	.	,	,	.	,	.
Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was	Was
that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man	that not a wise man
					,										
who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid	who laid
it	it	it	it	it	it	it	it	it		it	it	it		it	it
down	down	down	down	down	down	down	down	down	down	down	down	down	down	down	down
							.								
that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have	that age should have
possessions	possessions	possessions	possessions	possessions	possessions	possessions	possessions	possessions	permissions	possession	possessions	possessions	possessions	possessions	possessions
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
-	-	-	-	-	"	-	-	-	-	-	-	-	-	-	-
Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth	Youth
has	has	has	has	has	has	has	has	has	has	has	has	has	has	has	has
its	its	its	its	its	its	its	it	its	its	its	its	its	its	its	its
fill	fill	fill	fill	fill	fill	fill	fills	fill	fill	fill	fill	fill	fill	fill	fill
of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,	of good things ,
old	old	old	old	eld	old	eld	eld	eld	old	old	old	old	old	old	eld
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
sights	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs	sighs
and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows	and sorrows
'!	'!	'!	!	!	"	!	!	'!	!	'!	'!	'!	!	'!	'!
-	-		-	-	-	-	-	-	-	-		-	-	-	-
					"										
There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age		There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age	There never was a fate so pitiful as age
and	cum	cum	over	cum	and	cum	cum	cum	cum	and		aim	cum	cum	cum
poverty	poverty	poverty	poverty	poverty	poverty	poverty	poverty	poverty	poverty	poverty		poverty	poverty	poverty	poverty
!'	!'	.'	!'	!'	!"	!	!'	!'	!	!		!'	!'	!'	!'
I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not	I will not
palter	palter	falter	palter	palter	falter	palter	palter	palter	palter	palter	patter	falter	palter	palter	palter
with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the	with the
truth	truth	truth	truth	truth	truth	truth	truth	truthes	truth	truth	truth	truth	truth	truth	truth
	:	:			:				:		:	:	:	:	:
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings	kings
