p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16
	she	she	she	she		she	she	she	she	she	she	she		she	she
makes	makes	makes	makes	makes	makes	makes	makes	makes	makes	makes	makes	makes		makes	makes
free	free	free	free	free	free	free	free	free	free	free	free	free		free	free
of	of	of	of	of	of	of	of	of	of	of	of	of		of	of
her	her	her	her	her	her	her	her	her	her	her	her	her		her	her
love	love	love	love	love	love	love	love	love	love	love	love	love		love	love
and	and	and	and	and	and	and	and	and	and	and	and	and		and	and
precious	precious	preceous	precious	precious	precious	precious	precious	precious	precious	precious	precious	precious		precious	precious
person,	person,	person	person,	person,	person,	person,	person,	person,	person,	person,	person,	person,		person,	person.
lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	lest	Lest
she	she	one	she	she	she	she	she	she	she	she	she	she	she	she	she
regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret	regret
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
loss	loss	lors	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss	loss
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
both	both	both	both	both	both	both	both	both	both	both	both	both	both	both	both
chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity	chastity
and	&	and	and	and	and	and	and	and	and	and	and	and	and	and	and
affection.	affection.	affection.	affection.	affection.	affection.	affection.	affection.	affection.	affection.	affection.	affection,	affection.	affection.	affection.	affection.
With	With	With	With	With	With	With	With	With	With	With	with	With	With	With	With
God	God	God	God	God	God	God	God	God	God	God	God	God	God	God	god
as	as	as	as	as	as	as	as	as	as	as	as	as	as	as	as
my	my	my	my	my	my	my	my	my	my	my	my	my	my	my	my
witness	witness	witness	witness	witness	witness	witness	witness	witness	witness	witness	witness.	witness	witness	witness	witness
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid	bid
good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good
women	women	women	women	women	women	women	women	women	women	women	women	women	women	woman	women
observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	observe	
restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.	restraint.
The	The	The	The	The	The	The	The	The	The	The	The	The	The	The	The
lock	lock		lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock
guarding	guarding	guardily	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding	guarding
all	all	all	all	all	all	all	all	all	all	all	all	all	all	all	all
good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good
ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways	ways
is	is	in	is	is	is	in	is	is	is	is	is	is	is	is	is
modesty	modesty	modesty	modesty	modesty.	modesty	modesty	modesty	modesty	modesty	modesty	modesty	modesty	modesty	modesty	modest
-	-	-	-		-	-	-	-	-	-	-	-	-	-	-
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
need	need	need	need	need	need	need	need	need	need	need	need	need	need	need	need
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish	wish
them	them	them	them	them	them	them	them	them	them	them	them	them	them	them	them
any	any	any	any	any	any	any	any	any	any	any	any	any	any	any	and
better	better	better	better	better	better	better	better	better	better	better	better	better	better	better	
fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.	fortune.
The	The	The	The	The	The	The	The	The	The	The	The	The	The	The	The
false	false	false	false	false	false	false	false	false	false	false	false	false	false	false	false
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain	gain
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
name	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
falsity	falsity	falsity.	falsity	falsity	falsity.	falsity.	falsity.	falsity.	falsity	falsity.	falsity	falsity.	falsity.	falsity	falsity.
-	-	-	-	-	-	-	-	-	-	-	-	-		-	
How	How	How	How	how	How	How	How	How	how	How	How	How	How	How	How
lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lasting	lashing	lasting	lasting	lasting	lasting	lasting	lasting
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin	thin
ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice	ice
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	August's	Augusts
torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	torrid	horrid	torrid	torrid	torrid	torrid	torrid	torrid
sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?	sun?
Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their	Their
credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit	credit
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
as	as	as	as	as	as	as	as	as	as	as	as	as	as	on	on
															as
soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon	soon
away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	away.	as
															away.
The	The	The	The	The	The	The	The	The	The	The	The	The	The	The	The
beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty	beauty
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
many	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many
has	has	has	has	has	has	has	has	has	has	has	has	has	has	has	has
been	been	been	been	been	been	been	been	been	been	been	been	been	been	been	been
praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised	praised
far	far	far	for	far	far	far	far	far	far	far	far	far	far	far	far
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
wide;	wide;	wide	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;	wide;
but	but	but	but	but	but	but	but	but	but	but	but	but	but	but	but
if	if	if	if	if	if	if	if	if	if	if	if	if	if	if	if
their	their	their	their	their	their	their	their	their	their	their	their	their	their	their	there
hearts	heats	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts	hearts
be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be
counterfeit	counterfeit	counterfeit	counterfeit	counter-feit	counterfeit	counterfeit	counter-feit	counterfeit	counterfeit	counter-feit	counterfeit	counterfeit	counterfeit	counterfeit	counterfeit
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
rate	rate	rate	rate	rate	rate	rate	rate	rate	rate	rate	note	note	rate	note	note
them	them	them	them	them	them	them	them	them	them	them	them	them	them	the	them
as	as	as	as	as	as	as	as	as	as	as	as	as	as	as	as
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
should	should	should	should	should	should	should	should	should	should	should	should	should	should	should	should
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead	bead
set	set	yet	set	set	set	set	set	set	set	set	set	set	set	set	set
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.	gold.
But	But	But	But	But	But	But	But	But	But	But	But	But	But	But	But
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
do	do	do	do	do	do	do	do	do	do	do	do	do	do	do	do
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon	reckon
it	it	it	it	it	it	it	it	it	it	it	it	it	it	its	it
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	tawdry	towdry
thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing	thing
when	when	when	when	when	when	when	when	when	when	when	when	when	when	when	when
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble	noble
ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby	ruby
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
all	all	all	all	all	all	all	all	all	all	all	all	all	all	all	all
its	its	its	it's	its	its	its	its	its	its	its	its	its	its	its	its
virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues	virtues
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned	fashioned
into	into	into	into	into	into	into	into	into	into	into	into	into	into	into	into
bass	bare	bare	base	base	base	base	base	base	bare	base	base	base	base	base	base
brass	brass,	brass	brass	brass,	brass,	brass	brass,	brass	brass,	brass,	brass,	brass,	brass,	brass,	brass,
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
this	this	this	this	this	this	this	this	this	this	this	this	this	this	this	this
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
liken	liken	like	liken	liken	liken	liken	liken	liken	liken	liken	liken	liken	liken	liken	liken
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the		the	the	the	the	the	the	the	the	the	the	the	the	the
					the										
spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit	spirit
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
true	true		true	true	true		true	true	true	true	true	true	true	true	true
womanhood.	woman-hood.	womanhood.	womanhood.	woman-hood.	womanhood.	womanhood.	woman-hood.	womanhood.	woman-hood.	womanhood.	woman-hood	woman-hood.	womanhood.	woman-hood.	woman-hood.
When	When	When	When	When	When	When	When	When	When	When	when	When	When	When	When
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
women	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman	woman
acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts	acts
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
best	best	best	best	best	best	best	best	best	best	best	best	best	best	best	best
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
her	her	her	her	her	her	her	her	her	her	her	her	her	her	her	her
nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature	nature
you	you	you	you	you	you	you	you	you	you	you	you	you	you	you	you
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
not	not	not	not	not	not	not	not	not	not	not	not	not	not	not	not
find	find	find	find	find	find	find	find	find	find	find	find	find	find	find	find
me	me	me	me	me	me	me	me	me	me	me	me	me	me	me	me
surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying	surveying
her	her	her	her	her	her	her	her	her	her	her	her	her	her	her	her
complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion	complexion
or	or	or	or	or	or	or	or	or	or	or	or	or	or	or	or
probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing	probing
what	what	what	what	what	what	what	what	what	what	what	what	what	what	what	what
shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields	shields
her	her	her	her	her	her	her	her	her	her	her	her	her	her	her	her
heart:	heat:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heart:	heat:	heart:
if	if	if	if	if	if	if	if	if	if	if	if	if	if	if	if
she	she	she	she	she	she	she	she	she	she	she	she	she	she	she	she
be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be
well	well	well	well	well	well	well	well	well	well	well	well	well	well	well	well
proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed	proofed
within	within	within	within	within	within	within	within	within	within	within	within	within	within	within	within
her	her	her	her	her	her	her	her	her	her	her	her	her	her	her	her
breast,	breast	breast	breast,	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breast	breasts
her	her	her	her	her	her	her	her	her	her	her	her	her	her	her	her
good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good
name	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe	safe
from	from	from	from	from	from	from	from	from	from	from	from	from	from	from	from
harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.	harm.
Now	Now	Now	Now	Now	Now	Now	Now	Now	Now	Now	Nor	Now	Now	Now	Now
if	if	if	if	if	if	if	if	if	if	if	if	if	if	if	if
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
were	were	were	were	were	were	were	were	were	were	were	were	were	were	were	were
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge	judge
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
men	men	men	men	men	men	men	men	men	men	men	men	men	men	men	men
and	&	and	and	and	and	and	and	and	and	and	and	and	and	and	and
women	women	women	women	women	women	women	women	women	women	women	women	women	women	women	women
as	as	as	as	as	as	as	as	as	as	as	as	as	as	as	as
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
know	know	know	know	know	know	know	know	know	know	know	know	know	know	know	know
them	them	them	them	them	them	them	them	them	them	them	them	them	them	them	them
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
long	long	love	long	long	long	long	long	long	long	long	long	long	long	long	long
story	story	story	story	story	story	story	story	story	story	story	story	story	story	story	story
it	it	it	it	it	it	it	it	it	it	it	it	it	it	it	it
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
be.	be.	be.	be.	be.	be.	be.	be.	be.	be.	be.	be.	be.	be.	be	be
Hear	Hear,	Hear	Hear	Hear,	Hear,	Hear	Hear,	Hear,	Hear,	Hear,	Hear,	Hear,	Hear,	Hear,	hear,
then	then,	then,	then	then,	then	then,	then	then,	then,	then	then,	then,	then	then,	then,
what	what	what	what	what	what	what	what	what	what	what	what	what	what	what	what
manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner	manner
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale
this	this	this	this	this	this	this	this	this	this	this	this	this	this	this	this
is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,	is,
telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling	telling
of	of		of	of	of	of	of	of	of	of	of	of	of	of	of
things	things	things	things	things	things	things	things	things	things	things	things	things	things	things	things
both	both	both	both	both	both	both	both	both	both	both	both	both	both	both	both
pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant	pleasant
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
sad,	sad,	sad,	sad,	sad,	sad,	sad,	sad,	sad,	sad,	sad,	sad	sad	sad,	sad,	sad,
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy	joy
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble	trouble
for	for	for	for	for	for	for	for	for	for	for	for	for	for	for	for
company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.	company.
Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Grant	Great
there	there	there	there	there	there	there	there	there	there	there	there	there	there	there	there
were	were	were	were	were	were	were	were	were	were	were	were	were	were	were	were
three	three	three	three	three	three	three	three	three	three	three	three	three	three	three	three
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,	me,
each	each	each	each	each	each	each	each	each	each	each	each	each	each	each	each
with	with	with	with	with	with	with	with	with	with	with	with	with	with	with	with
skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill	skill
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
match	match	match	match	match	match	match	match	match	match	match	match	match	match	match	match
mine:	mine:	mine,	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:	mine:
there	there	there	there	there	there	there	There	there	there	there	there	there	there	there	there
would	would	would	would	would	would	would	would	would	would	would	would	would	would	would	would
still	still	still	still	still	still	still	still	still	still	still	still	still	still	still	still
be	be	be	be	be	be	be	be	be	be	be	be	be	be	be	be
need	need	need	need	need	need	need	need	need	need	need	need	need	need	need	need
of	of	of	of	for	of	of	of	of	for	of	of	of	of	of	of
unbridled	unbridled	unbriddled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled	unbridled
inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration	inspiration
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell	tell
you	you	you	you	you	you	you	you	you	you	you	you	you	you,	you	you
what,	what	what,	what,	what,	what,	what,	what,	what,	what,	what	what,	what,	single-handed,	what,	what,
single-handed,	single-handed	single-handed,	single-handed,	simple	single-handed,	single-handed,	single-handed,	single-handed,	simple	simplehanded,	single-handed,	single-handed,	what	single-handled,	single-handed,
				handed,					handed,						
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
in	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind	mind
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
tell!	tell!	tell	tell!	tell!	tell!	tell	tell!	tell!	tell.	tell!	tell!	tell!	tell!	tell.	tell!
		you.				you.									
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
will	will	will	will	will	will	will	will	will	will	will	will	will	will	will	will
renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew	renew
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
tale	tale	lake	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale	tale
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells	tells
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
great	great	great	great	great	great	great	great	great	great	great	great	great	great	great	great
fidelity,	fidelity,	fidelity,	fidelity,	fidelity	fidelity,	fidelity,	fidelity	fidelity,	fidelity	fidelity	fidelity,	fidelity,	fidelity	fidelity,	fidelity
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
unborn	inborn	unborn	inborn	unborn	unborn	inborn	unborn	inborn	unborn	unborn	inborn	inborn	unborn	inborn	unborn
womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood	womanhood
and	and	and	and	and	and	and	and	and	and	and	and	and	and	and	and
manly	manly	narky	manly	manly	manly	manly	manly	manly	manly	manly	manly	manly	manly	manly	manly
virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue	virtue
so	so	so	so	so	so	so	so	so	so	so	so	so	so	so	so
straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight	straight
as	as	as	as	as	as	as	as	as	as	as	as	as	as	as	as
never	never	never	never	never	never	never	never	never	never	never	never	never	never	never	never
was	was	was	was	was	was	was	was	was	was	was	was	was	was	was	was
bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent	bent
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
any	any	any	any	any	any	any	any	any	any	any	any	any	any	any	any
test	test	test	test	test	test	test	test	test	test	test	test	test	test	test	test
of	of	of	of	of	of	of	of	of	of	of	of	of	of	of	of
hardness.	hardness	hardness.	hardness.	hardiness.	hardness.	hardness.	hardness.	hardness.	hardiness.	hardness.	hardness	hardness.	hardness.	hardness	hardness.
Steel	steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	Steel	steel	Steel	Steel	steel	Steel
that	that	that	that	that	that	that	that	that	that	that	that	that	that	that	that
he	he	he	he	he	he	he	he	he	he	he	he	he	he	he	he
was,	was,	was,	was,	was,	way	was,	way	was,	was,	was,	was,	was,	may,	was,	was,
his	his	his	his	his	his	his	his	his	his	his	his	his	his	his	his
courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage	courage
never	never	never	never	never	never	never	never	never	never	never	never	never	never	never	never
failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed	failed
him,	him,	him	him,	him,	him,	him	him,	him,	him,	him,	him,	him,	him,	him,	him,
his	his	his	his	his	his	his	his	his	his	his	his	his	his	his	his
conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	conquering	crnquering
hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand
seized	seized	seized	seized	seized	seized	seized	seized	siezed	seized	seized	seized	seized	seized	seized	seized
many	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many
a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious	glorious
prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize	prize
when	when	when	when	when	when	when	when	when	when	when	when	when	when	when	when
he	he	he	he	he	he	he	he	he	he	he	he	he	he	he	he
came	came	came	came	came	came	came	came	came	came	came	came	came	came	came	came
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
battle.	battle.	battle.	battle.	battle.	battle.	battle.	battle.	battle	battle.	battle.	battle.	battle.	battle.	battle.	battle.
Dauntless	Dauntless	Daintless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless	Dauntless
man,	man,	man	man,	man,	man,	man,	man,	man,	man,	man,	man,	man,	man,	man,	man
though	though	though	though	though	though	though	though	though	though	though	though	though	though	though	though,
laggard	laggard	taggered	laggard	lagged	laggard	laggard	laggard	laggard	lagged	haggard	laggard	laggard	laggard	laggard	lagg
															and
in	in	in	in	in	in	in	in	in	in	in	in	in	in	in	in
discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!	discretion!
-	-		-		-		-	-						-	-
Thus	Thus	Thus	Thus	Thus	thus,	Thus	thus,	Thus	Thus	Thus,	Thus	Thus	Thus,	Thus	Thus
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute	salute
the	the	the	the	the	the	the	the	the	the	the	the	the	the	the	the
hero	hero.	hero	hero	hero	hero.	hero	hero.	hero	hero	hour	hero.	hero.	hero.	hero	here.
-	-	-	-	-	-	-	-	-	-	-				-	-
sweet	Sweet	sweet	sweet	sweet	Sweet	sweet	Sweet	Sweet	sweet	Sweet	Sweet	Sweet	Sweet	Sweet	Sweet
balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm	balm
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
women's	woman's	women's	women's	woman's	woman's	women's	woman's	women's	woman's	woman's	woman's	woman's	woman's	women's	womans
eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,	eyes,
yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet	yet
women's	woman's	women's	women's	woman's	woman's	women's	woman's	women's	woman's		woman's	woman's	woman's	woman's	woman
hearts	heart's	heart's	hearts	heart's	heart's	heart's	heart's	heart's	hearts'		heart's	heart's	heart's	heart's	heart's
disease!	disease!	desire!	disease!	disease	disease,	disease!	disease	disease!	disease		disease!	disease!	disease	disease!	disease!
				I			I		I				I		
Shunner	Shunner	Shunner	Shunner	shunner	shunner	Shunner	shunner	Shunner	shimmer		Shunner	Shunner	shun	Shunner	Shunner
of	of	of	of	of	of	of	of	of	of		of	of	of	of	of
all	all	all	all	all	all	all	all	all	all		all	all	all	all	all
wrongdoing!	wrongdoing!	wrong	wrongdoing!	wrong-doing!	wrongdoing!	wrongdoing!	wrong	wrongdoing!	wrong-doing!		wrong	wrongdoing!	wrongdoing!	wrongdoing!	wrong
		doing!					doing!				doing!				doing!
As	As	as	As	as	as	as	as	As	as		As	As	As	As	As
yet	yet	yet	yet	yet	yet	yet	yet	yet	yet		yet	yet	yet	yet	yet
he	he	he	he	he	he	he	he	he	he	he	he	he	he	he	he
is	is	is	is	is	is	is	is	is	is	is	is	is	is	is	is
unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn	unborn
to	to	to	to	to	to	to	to	to	to	to	to	to	to	to	to
this	this	this	this	this	this	this	this	this	this	this	this	this	this	this	this
story	story	story	story	story	story	story	story	story	story	story	story	story	story	story	story
whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom	whom
I	I	I	I	I	I	I	I	I	I	I	I	I	I	I	I
have	have	have	have	have	have	have	have	have	have	have	have	have	have	have	have
