n1	n2	n3	n4	n5	n6	n7	n8	n9	n10	n11	n12	n13
"Je	"Je	je	je	"Je	Je	"Je	je	Je	Je	Je	je	"Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton
plaisir:	plaisir:	plaisir:	plaisir:	plaisir:	plaisir:	plaisir:	plaisir:	plaisir:	plaisir	plaisir	plaisir:	plaisir:
aime-les	aime-les	aime-les	aime-les	aime-les	aime-les	aime-les	aime-les	aime-les	- aime-les	- aime-les	aime-les	aime-les
tous!",	tous!",	tous!	tous!	tous!",	tous!	toutes!",	tous!	tous!	tous!	tous!	tous!	tous!",
"Je	"Je	Je	Je	"Je	Je	"Je	Je	Je	Je	Je	Je	"Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton
talent:	talent:	talent:	talent:	talent:	talents:	talent:	talent:	talents:	talent	talent	talent:	talent:
fais-en	fais-en	fais-en	fais-en	fais-en	fais-en	fais-en	fais-en	fais-en	- fais-en	- fais-en	fais-en	fais-en
aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi	aussi
mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais	mauvais
usage	usage	usage	usage	usage	usage	usage	usage	usage	usage	usage	usage	usage
que	que	que	que	que	que	que	que	que	que	que	que	que
de	de	de	de	de	de	de	de	de	de	de	de	
toi-même!",	toi-même!",	toi-même!	toi-même!	toi-même!",	toi-même!	toi-même!",	toi-même!	toi-même!	toi-même!	toi-même!	toi-même!	toi-même!",
"Je	"Je	Je	Je	"Je	Je	"Je	Je	Je	Je	Je	Je	"Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton
désir	désir	désir	désir	désir	désir	désir	désir	désir	désir	désir	désir	désir
de	de	de	de	de	de	de	de	de	de	de	de	de
jouissance:	jouissance:	jouissance:	jouissance:	jouissance:	jouissance:	jouissance:	jouissance:	jouissance:	jouissance	jouissance	jouissance:	jouissance:
seuls	seuls	seuls	seuls	seuls	seuls	seuls	seuls	seuls	- seuls	- seuls	seuls	seuls
vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent	vivent
les	les	les	les	les	les	les	les	les	les	les	les	les
gourmets",	gourmets",	gourmets!	gourmets!	gourmets",	gourmets!	gourmets",	gourmets!	gourmets!	gourmets!	gourmets!	gourmets!	gourmets!",
"Je	"Je	Je	Je	"Je	Je	"Je	Je	Je	Je	Je	Je	"Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
ta	ta	ta	ta	ta	ta	ta	ta	ta	ta	ta	ta	ta
solitude:	solitude:	solitude:	solitude:	solitude:	solitude:	solitude:	solitude:	solitude:	solitude	solitude	solitude:	solitude:
Méprise	méprise	méprise	méprise	Méprise	méprise	méprise	méprise	méprise	- méprise	- méprise	méprise	méprise
les	les	les	les	les	les	les	les	les	les	les	les	les
hommes!",	hommes!",	hommes!	hommes!	hommes!",	hommes!	hommes!",	hommes!	hommes!	hommes!	hommes!	hommes!	hommes!",
"Je	"Je	Je	Je	"Je	Je	"Je	Je	Je	Je	Je	Je	"Je
suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis	suis
ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton	ton
aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration	aspiration
à	à	à	à	à	à	à	à	à	à	à	à	à
la	la	la	la	la	la	la	la	la	la	la	la	la
mort:	mort:	mort:	mort:	mort:	mort:	mort:	mort:	mort:	mort	mort	mort:	mort:
alors	alors	alors	alors	alors	alors	alors	alors	alors	- alors	- alors	alors	alors
tranche!".	tranche!"	tranche!	tranche!	tranche!".	tranche!	tranche!"	tranche!	tranche!	tranche!	tranche!	tranche!	tranche!".
Le	Le	Le	Le	Le	Le	Le	Le	Le	Le	Le	Le	Le
fil	fil	fil	fil	fil	fil	fil	fil	fil	fil	fil	fil	fil
du	du	du	du	du	du	du	du	du	du	du	du	du
rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir	rasoir
est	est	est	est	est	est	est	est	est	est	est	est	est
bien	bien	bien	bien		bien	bien	bien	bien	bien	bien	bien	bien
étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.	étroit.
Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
vois	vois	vois	vois	vois	crois	vois	vois	vois	vois	vois	vois	vois
ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie
menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée	menacée
par	par	par	par	par	par	par	par	par	par	par	par	par
deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux
périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:	périls:
d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un	d'un
côté	côté	côté	côté	côté	côté	côté	côté	côté	côté	côté	côté	côté
par	par	par	par	par	par	par	par	par	par	par	par	par
les	les	les	les	les	les	les	les	les	les	les	les	les
bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches	bouches
avides	arides (?)	avides	avides	avides	avides	avides	avides	avides	avides	avides	avides	avides
de	de	de	de	de	de	de	de	de	de	de	de	de
la	la	la	la	la	la	la	la	la	la	la	la	la
gourmandise,	gourmandise,	gourmandise,	gourmandise,	gourmandise,	gourmandise,	gourmandise,	gourmandise,	gourmandises,	gourmandise,	gourmandise,	gourmandise,	gourmandise,
de	de	de	de	de	de	de	de	de	de	de	de	de
l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre	l'autre
par	par	par	par	par	par	par	par	par	par	par	par	par
l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume	l'amertume
de	de	de	de	de	de	de	de	de	de	de	de	de
l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice	l'avarice
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
se	se	se	se	se	se	se	se	se	se	se	se	se
nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit	nourrit
d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.	d'elle-même.
Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais
je	je	je	je	je	je	je	je	je	je	je	je	je
tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens	tiens
à	à	à	à	à	à	à	à	à	à	à	à	à
refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser	refuser
de	de	de	de	de	de	de	de	de	de	de	de	de
choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir	choisir
entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre
l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie	l'orgie
et	et	et	et	et	et	et	et	et	et	et	et	et
l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	l'ascèse,	la	l'ascèse,	l'ascèse,	l'ascèse,
									cèse,			
même	même	même	même	même	même	même	même	même	même	même	même	même
si	si	si	si	si	si	si	si	si	si	si	si	si
je	je	je	je	je	je	je	je	je	je	je	je	je
dois	dois	dois	dois	dois	dois	dois	dois	dois	dois	dois	dois	dois
pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour	pour
cela	cela	cela	cela	cela	cela	cela	cela	cela	cela	cela	cela	cela
subir	subir	subir	subir	subir	subir	subir	subir	subir	subire	subir	subir	subir
le	le	le	le	le	le	le	le	le	le	le	le	le
supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice	supplice
du	du	du	du	du	du	du	du	du	du	du	du	du
grill	grill	grill		grill	grill	grill	grill	grill	grill	grill	grill	grill
de	de	de	de	de	de	de	de	des	de	de	de	de
mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes	mes
désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.	désirs.
Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour	Pour
moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,	moi,
il	il	il	il	il	il	il	il	il	il	il	il	il
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit	suffit
pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
de	de	de	de	de	de	de	de	de	de	de	de	de
savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir	savoir
que,	que,	que,	que,	que,	que,	que,	que,	que,	que,	que,	que,	que,
puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque	puisque
nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous	nous
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes	sommes
pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
libres	libres	libres	libres	libres	libres	libres	libres	libres	libres	libres	libres	libres
de	de	de	de	de	de	de	de	de	de	de	de	de
nos	nos	nos	nos	nos	nos	nos	nos	nos	nos	nos	nos	nos
actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,	actes,
tout	tout	tout	tout	tout	tout	tout	tout	tout	tout	tout	tout	tout
est	est	est	est	est	est	est	est	est	est	est	est	est
excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.	excusable.
Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce	Ce
que	que	que	que	que	que	que	que	que	que	que	que	que
je	je	je	je	je	je	je	je	je	je	je	je	je
cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,	cherche,
ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce	ce
n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
une	une	une	une	une	une	une	une	une	une	une	une	une
excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse	excuse
à	à	à	à	à	à	à	à	à	à	à	à	à
ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
vie,	vie,	vie	vie,	vie,	vie	vie;	vie	vie	vie	vie	vie,	vie,
mais	mais	mais	mais	mais	mais	mais	mais	mais	mais	mais	mais	mais
exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement	exactement
le	le	le	le	le	le	le	le	le	le	le	le	le
contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire	contraire
d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une
excuse:	excuse:	excuse:	excuse:	excuse	excuse:	excuse:	excuse:	excuse:	excuse:	excuse:	excuse:	excuse:
				à								
				ma								
				vie,								
				mais								
				exactement								
				le								
				contraire								
				d'une								
				excuse:								
le	le	le	le	le	le	le	le	le	le	le	le	le
pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.	pardon.
L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée	L'idée
me	me	me	me	me	me	me	me	me	me	me	me	me
vient	vient	vient	vient	vient	vient	vient	vient	vient	vient	vient	vient	vient
finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement	finalement
que	que	que	que	que	que	que	que	que	que	que	que	que
toute	toute	toute	toute	toute	toute	toute	toute	toute	toute	toute	toute	toute
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant	prenant
pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
en	en	en	en	en	en	en	en	en	en	en	en	en
compte	compte	compte	compte	compte	compte	compte	compte	compte	compte	compte	compte	compte
ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté	liberté
est	est	est	est	est	est	est	est	est	est	est	est	est
trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,	trompeuse,
qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle	qu'elle
n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
que	que	que	que	que	que	que	que	que	que	que	que	que
l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image	l'image
réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie	réfléchie
de	de	de	de	de	de	de	de	de	de	de	de	de
mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.	désespoir.
En	En	En	En	En	En	En	En	En	En	En	En	En
effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,	effet,
lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque	lorsque
mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon	mon
désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir	désespoir
me	me	me	me	me	me	me	me	me	me	me	me	me
dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:	dit:
"Perds	"Perds	Perds	Perds	"Perds	Perds	"Perds	perds	Perds	Perd	Perds	Perds	"Prends
confiance,	confiance,	confiance,	confiance,	confiance,	confiance,	confiance	confiance,	confiance,	confiance,	confiance,	confiance,	confiance,
car	car	car	car	car	car	car	car	car	car	car	car	car
chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque
joie	jour	jour	jour	joie	jour	jour	jour	jour	jour	jour	jour	joie
n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
qu'une	qu'une	qu'une	qu'une	qu'une		qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une
trève	trève	trève	trève	trève	trève	trêve	trève	trève	trêve	trêve	trève	trève
entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre
deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux
nuits",	nuits",	nuits,	nuits,	nuits",	nuits,	nuits",	nuits,	nuits,	nuits,	nuits,	nuits,	nuits",
la	la	la	la	la	la	la	la	la	la	la	la	la
fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse	fausse
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
me	me	me	me	me	me	me	me	me	me	me	me	me
crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:	crie:
"Espère,	"Espère,	Espère,	Espère,	"Espère,	Espère,	"Espère,	Espère,	Espère,	Espère,	Espère,	Espère,	"Espère,
car	car	car	car	car	car	car	car	car	car	car	car	car
chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque	chaque
nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit	nuit
n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une	qu'une
trève	trève	trève	trève	trève	trève	trêve	trève	trève	trêve	trêve	trève	trève
entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre
deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux	deux
jours".	jours".	jours.	jours.	jours".	jours.	jours".	jours.	jours.	jours.	jours.	jours.	jours".
Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais	Mais
l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité	l'humanité
n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a	n'a
que	que	que	que	que	que	que	que	que	que	que	que	que
faire	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire	faire
d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
en	en	en	en	en	en	en	en	en	en	en	en	en
forme	forme	forme	forme	forme	forme	forme	forme	forme	forme	forme	forme	forme
de	de	de	de	de	de	de	de	de	de	de	de	de
mot	mot	mot	mot	mot	mot	mot	mot	mot	mot	mot	mot	mot
d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:	d'esprit:
elle	elle	elle	elle	elle	elle	elle	elle	elle	elle	elle	elle	elle
a	a	a	a	a	a	a	a	a	a	a	a	a
besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin	besoin
d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une	d'une
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.	illumine.
Et	Et	Et	Et	Et	Et	Et	Et	Et	Et	Et	Et	Et
celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui	celui
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite	souhaite
devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir
mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,	mauvais,
c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire	c'est-à-dire
devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir	devenir
un	un	un	un	un	un	un	un	un	un	un	un	un
homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme	homme
qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse	agisse
comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme	comme
si	si	si	si	si	si	si	si	si	si	si	si	si
toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes	toutes
les	les	les	les	les	les	les	les	les	les	les	les	les
actions	actions	actions	actions	actions	actions	actions	actions	actions	actions	actions	actions	actions
étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient	étaient
défendables,	défendables,	défendables,	défendables,	défendables,	défendables,	défendables,	défavorables,	défendables,	défendables,	défendables,	défendables,	défendables,
doit	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit	doit
du	du	au	au	du	du	du	au	au	au	au	au	au
moins	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins	moins
avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir	avoir
la	la	la	la	la	la	la	la	la	la	la	la	la
bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté	bonté
de	de	de	de	de	de	de	de	de	de	de	de	de
le	le	le	le	le	le	le	le	le	le	le	le	le
remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer	remarquer
lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il	lorsqu'il
y	y	y	y	y	y	y	y	y	y	y	y	y
parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.	parvient.
Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut	peut
énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer	énumérer
tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous	tous
les	les	les	les	les	les	les	les	les	les	les	les	les
cas	cas	cas	cas	cas	cas	cas	cas	cas	cas	cas	cas	cas
où	où	où	où	où	où	où	où	où	où	où	où	où
la	la	la	la	la	la	la	la	la	la	la	la	la
consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation	consolation
est	est	est	est	est	est	est	est	est	est	est	est	est
une	une	une	une	une	une	une	une	une	une	une	une	une
nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.	nécessité.
Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne	Personne
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
sait	sait	sait	sait	sait	sait	sait	sait	sait	sait	sait	sait	sait
quand	quand	quand	quand	quand	quand	quand	quand	quand	quand	quand	quand	quand
	tombera	tombera	tombera	tombera	tombera	tombera	tombera	tombera	tombera	tombera	tombera	tombera
	le	le	le	le	le	le	le	le	le	le	le	le
	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule	crépuscule
	et	et	et	et	et	et	et	et	et	et	et	et
	la	la	la	la	la	la	la	la	la	la	la	la
	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie	vie
	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est	n'est
	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas	pas
	un	un	un	un	un	un	un	un	un	un	un	un
	problème	problème	problème	problème	problème	problème	problème	problème	problème	problème	problème	problème
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	puisse	puisse	puisse	puisse	puisse	peut	puisse	puisse	puisse	puisse	puisse	puisse
	être	être	être	être	être	être	être	être	être	être	être	être
	résolu	résolu	résolu	résolu	résolu	résolu	résolu	résolu	résolu	résolu	résolu	résolu
	en	en	en	en	en	en	en	en	en	en	en	en
	divisant	divisant	divisant	divisant	divisant	divisant	divisant	divisant	divisant	divisant	divisant	divisant
	la	la	la	la	la	la	la	la	la	la	la	la
	lumière	lumière	lumière	lumière	lumière	lumière	lumière	lumière	lumière	lumière	lumière	lumière
	par	par	par	par	par	par	par	par	par	par	par	par
	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité	l'obscurité
	et	et	et	et	et	et	et	et	et	et	et	et
	les	les	les	les	les	les	les	les	les	les	les	les
	jours	jours	jours	jours	jours	jours	jours	jours	jours	jours	jours	jours
	par	par	par	par	par	par	par	par	par	par	par	par
	les	les	les	les	les	les	les	les	les	les	les	les
	nuits,	nuits,	nuits,	nuits,	nuits,	nuits;	nuits,	nuits,	nuits,	nuits,	nuits,	nuits,
	c'est	c'est	c'est	c'est	c'est	c'est	c'est	c'est	c'est	c'est	c'est	c'est
	un	un	un	un	un	un	un	un	un	un	un	un
	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage	voyage
	imprévisible	imprévisible	imprévisible	imprévisible	prévisible	imprévisible	imprévisible	imprévisible	imprévisible	imprévisible	imprévisible	imprévisible
	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre	entre
	des	des	des	des	les	des	des	des	des	des	des	des
	lieux	lieux	lieux	lieux	lieux	lieux	lieux	lieux	lieux	lieux	lieux	lieux
	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui	qui
	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent	n'existent
	pas.	pas.	pas.	pas.	pas.	pas.	pas.	pas.	pas.	pas.	pas.	pas.
	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je	Je
	peux,	peux,	peux,	peux,	peux,	peux,	peux,	peux,	peux,	peux,	peux,	peux,
	par	par	par	par	par	par	par	par	par	par	par	par
	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,	exemple,
	marcher	marcher	marcher	marcher	marcher	marcher	marcher	marcher	marcher	marcher	marcher	marcher
	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur	sur
	le	le	le	le	le	le	le	le	le	le	le	le
